sentence,labels
Alice moved to Bangalore after leaving Microsoft,"['B-PER', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG']"
Microsoft was founded by Bob in Tokyo,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC']"
Microsoft was founded by Steve Jobs Steve Jobs in Bangalore,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'B-LOC']"
Samantha moved to London after leaving Apple,"['B-PER', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG']"
Bob moved to London after leaving Apple,"['B-PER', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG']"
Apple was founded by Bob in Tokyo,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC']"
Steve Jobs Steve Jobs moved to Amazon in New York New York,"['B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC']"
Bob joined Apple in Tokyo,"['B-PER', 'O', 'B-ORG', 'O', 'B-LOC']"
Microsoft was founded by Steve Jobs Steve Jobs in London,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'B-LOC']"
Amazon was founded by Alice in Paris,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC']"
John left OpenAI in Paris,"['B-PER', 'O', 'B-ORG', 'O', 'B-LOC']"
Bob left Google in London,"['B-PER', 'O', 'B-ORG', 'O', 'B-LOC']"
Samantha moved to Paris after leaving Amazon,"['B-PER', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG']"
Google was founded by John in London,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC']"
Steve Jobs Steve Jobs moved to Google in New York New York,"['B-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC']"
Microsoft was founded by Samantha in Tokyo,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC']"
Microsoft was founded by Samantha in Paris,"['B-ORG', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC']"
